ID,OptionKey,Name,SlotType,EquipmentCategory,ItemCategory,ItemSubType,Tier,Weight
GreatSword_TwoHand,Weapon_TwoHand,GreatSword,MainHand,Weapon,LongSword,TwoHand,3,1
Claymore_Damage,Weapon_Damage,Claymore,MainHand,Weapon,LongSword,TwoHand,4,1
Claymore_Accuracy,Weapon_Accurency,Claymore,MainHand,Weapon,LongSword,TwoHand,4,1
Claymore_TwoHand,Weapon_TwoHand,SubHand,MainHand,Weapon,LongSword,TwoHand,4,1
Katana_Damage,Weapon_Damage,Katana,MainHand,Weapon,LongSword,OneHand,4,1
Katana_Accuracy,Weapon_Accurency,Katana,MainHand,Weapon,LongSword,OneHand,4,1
Katana_AttackSpeed,Weapon_AttackSpeed,Katana,MainHand,Weapon,LongSword,OneHand,4,1
Club_Damage,Weapon_Damage,Club,MainHand,Weapon,Blunt,OneHand,1,1
Club_Accuracy,Weapon_Accurency,Club,MainHand,Weapon,Blunt,OneHand,1,1
Club_AttackSpeed,Weapon_AttackSpeed,Club,MainHand,Weapon,Blunt,OneHand,1,1
Mace_Damage,Weapon_Damage,Mace,MainHand,Weapon,Blunt,OneHand,2,1
Mace_Accuracy,Weapon_Accurency,Mace,MainHand,Weapon,Blunt,OneHand,2,1
Mace_AttackSpeed,Weapon_AttackSpeed,Mace,MainHand,Weapon,Blunt,OneHand,2,1
MorningStar_Damage,Weapon_Damage,MorningStar,MainHand,Weapon,Blunt,OneHand,3,1
MorningStar_Accuracy,Weapon_Accurency,MorningStar,MainHand,Weapon,Blunt,OneHand,3,1
MorningStar_AttackSpeed,Weapon_AttackSpeed,MorningStar,MainHand,Weapon,Blunt,OneHand,3,1
WarHammer_Damage,Weapon_Damage,WarHammer,MainHand,Weapon,Blunt,TwoHand,4,1
WarHammer_Accuracy,Weapon_Accurency,WarHammer,MainHand,Weapon,Blunt,TwoHand,4,1
WarHammer_AttackSpeed,Weapon_AttackSpeed,WarHammer,MainHand,Weapon,Blunt,TwoHand,4,1
WarHammer_TwoHand,Weapon_TwoHand,WarHammer,MainHand,Weapon,Blunt,TwoHand,4,1
HandAxe_Damage,Weapon_Damage,HandAxe,MainHand,Weapon,Axe,OneHand,1,1
HandAxe_Accuracy,Weapon_Accurency,HandAxe,MainHand,Weapon,Axe,OneHand,1,1
BattleAxe_Damage,Weapon_Damage,BattleAxe,MainHand,Weapon,Axe,TwoHand,2,1
BattleAxe_Accuracy,Weapon_Accurency,BattleAxe,MainHand,Weapon,Axe,TwoHand,2,1
BattleAxe_TwoHand,Weapon_TwoHand,BattleAxe,MainHand,Weapon,Axe,TwoHand,2,1
BroadAxe_Damage,Weapon_Damage,BroadAxe,MainHand,Weapon,Axe,OneHand,3,1
BroadAxe_Accuracy,Weapon_Accurency,BroadAxe,MainHand,Weapon,Axe,OneHand,3,1
Executioner’s Axe_Damage,Weapon_Damage,Executioner’s Axe,MainHand,Weapon,Axe,TwoHand,4,1
Executioner’s Axe_Accurency,Weapon_Accurency,Executioner’s Axe,MainHand,Weapon,Axe,TwoHand,4,1
Executioner’s Axe_AttackSpeed,Weapon_AttackSpeed,Executioner’s Axe,MainHand,Weapon,Axe,TwoHand,4,1
Executioner’s Axe_TwoHand,Weapon_TwoHand,Executioner’s Axe,MainHand,Weapon,Axe,TwoHand,4,1
Spear_Damage,Weapon_Damage,Spear,MainHand,Weapon,Spear,TwoHand,1,1
Spear_Accuracy,Weapon_Accurency,Spear,MainHand,Weapon,Spear,TwoHand,1,1
Spear_AttackRange,Weapon_AttackRange,Spear,MainHand,Weapon,Spear,TwoHand,1,1
Spear_TwoHand,Weapon_TwoHand,Spear,MainHand,Weapon,Spear,TwoHand,1,1
Trident_Damage,Weapon_Damage,Trident,MainHand,Weapon,Spear,TwoHand,2,1
Trident_Accuracy,Weapon_Accurency,Trident,MainHand,Weapon,Spear,TwoHand,2,1
Trident_AttackRange,Weapon_AttackRange,Trident,MainHand,Weapon,Spear,TwoHand,2,1
Trident_TwoHand,Weapon_TwoHand,Trident,MainHand,Weapon,Spear,TwoHand,2,1
Glaive_Damage,Weapon_Damage,Glaive,MainHand,Weapon,Spear,TwoHand,3,1
Glaive_Accuracy,Weapon_Accurency,Glaive,MainHand,Weapon,Spear,TwoHand,3,1
Glaive_AttackRange,Weapon_AttackRange,Glaive,MainHand,Weapon,Spear,TwoHand,3,1
Glaive_TwoHand,Weapon_TwoHand,Glaive,MainHand,Weapon,Spear,TwoHand,3,1
Bardiche_Damage,Weapon_Damage,Bardiche,MainHand,Weapon,Spear,TwoHand,4,1
Bardiche_Accuracy,Weapon_Accurency,Bardiche,MainHand,Weapon,Spear,TwoHand,4,1
Bardiche_AttackRange,Weapon_AttackRange,Bardiche,MainHand,Weapon,Spear,TwoHand,4,1
Bardiche_TwoHand,Weapon_TwoHand,Bardiche,MainHand,Weapon,Spear,TwoHand,4,1
ShortBow_Damage,Weapon_Damage,ShortBow,MainHand,Weapon,Bow,TwoHand,1,1
ShortBow_Accuracy,Weapon_Accurency,ShortBow,MainHand,Weapon,Bow,TwoHand,1,1
ShortBow_AttackRange,Weapon_AttackRange,ShortBow,MainHand,Weapon,Bow,TwoHand,1,1
ShortBow_TwoHand,Weapon_TwoHand,ShortBow,MainHand,Weapon,Bow,TwoHand,1,1
CompositeBow_Damage,Weapon_Damage,CompositeBow,MainHand,Weapon,Bow,TwoHand,2,1
CompositeBow_Accuracy,Weapon_Accurency,CompositeBow,MainHand,Weapon,Bow,TwoHand,2,1
CompositeBow_AttackRange,Weapon_AttackRange,CompositeBow,MainHand,Weapon,Bow,TwoHand,2,1
CompositeBow_TwoHand,Weapon_TwoHand,CompositeBow,MainHand,Weapon,Bow,TwoHand,2,1
Crossbow_Damage,Weapon_Damage,Crossbow,MainHand,Weapon,Bow,OneHand,3,1
Crossbow_Accuracy,Weapon_Accurency,Crossbow,MainHand,Weapon,Bow,OneHand,3,1
Crossbow_TwoHand,Weapon_AttackRange,Crossbow,MainHand,Weapon,Bow,OneHand,3,1
Longbow_Damage,Weapon_Damage,Longbow,MainHand,Weapon,Bow,TwoHand,4,1
Longbow_Accuracy,Weapon_Accurency,Longbow,MainHand,Weapon,Bow,TwoHand,4,1
Longbow_AttackRange,Weapon_AttackRange,Longbow,MainHand,Weapon,Bow,TwoHand,4,1
Longbow_TwoHand,Weapon_TwoHand,Longbow,MainHand,Weapon,Bow,TwoHand,4,1
Rob_Def,Armor_Def,Rob,Body,Armor,LightArmour,,1,1
Rob_Ev,Armor_Ev,Rob,Body,Armor,LightArmour,,1,1
LeatherArmor_Def,Armor_Def,LeatherArmor,Body,Armor,LightArmour,,1,1
LeatherArmor_Ev,Armor_Ev,LeatherArmor,Body,Armor,LightArmour,,1,1
LeatherArmor_DamageReduce,Armor_DamageReduce,LeatherArmor,Body,Armor,LightArmour,,1,1
LeatherArmor_Disruption,Armor_Disruption,LeatherArmor,Body,Armor,LightArmour,,1,1
ChainMail_Def,Armor_Def,ChainMail,Body,Armor,LightArmour,,1,1
ChainMail_Ev,Armor_Ev,ChainMail,Body,Armor,LightArmour,,1,1
ChainMail_DamageReduce,Armor_DamageReduce,ChainMail,Body,Armor,LightArmour,,2,1
ChainMail_Disruption,Armor_Disruption,ChainMail,Body,Armor,LightArmour,,2,1
ScaleMail_Def,Armor_Def,ScaleMail,Body,Armor,LightArmour,,3,1
ScaleMail_Ev,Armor_Ev,ScaleMail,Body,Armor,LightArmour,,3,1
ScaleMail_DamageReduce,Armor_DamageReduce,ScaleMail,Body,Armor,LightArmour,,3,1
ScaleMail_Disruption,Armor_Disruption,ScaleMail,Body,Armor,LightArmour,,3,1
HalfPlate_Def,Armor_Def,HalfPlate,Body,Armor,HeavyArmour,,2,1
HalfPlate_Ev,Armor_Ev,HalfPlate,Body,Armor,HeavyArmour,,2,1
HalfPlate_DamageReduce,Armor_DamageReduce,HalfPlate,Body,Armor,HeavyArmour,,2,1
HalfPlate_Disruption,Armor_Disruption,HalfPlate,Body,Armor,HeavyArmour,,2,1
PlateMain_Def,Armor_Def,PlateMain,Body,Armor,HeavyArmour,,3,1
PlateMain_Ev,Armor_Ev,PlateMain,Body,Armor,HeavyArmour,,3,1
PlateMain_DamageReduce,Armor_DamageReduce,PlateMain,Body,Armor,HeavyArmour,,3,1
PlateMain_Disruption,Armor_Disruption,PlateMain,Body,Armor,HeavyArmour,,3,1
GothicPlate_Def,Armor_Def,GothicPlate,Body,Armor,HeavyArmour,,4,1
GothicPlate_Ev,Armor_Ev,GothicPlate,Body,Armor,HeavyArmour,,4,1
GothicPlate_DamageReduce,Armor_DamageReduce,GothicPlate,Body,Armor,HeavyArmour,,4,1
GothicPlate_Disruption,Armor_Disruption,GothicPlate,Body,Armor,HeavyArmour,,4,1
Glove_Def,Armor_Def,Glove,Hand,Armor,Glove,,2,1
Glove_DamageReduce,Armor_DamageReduce,Glove,Hand,Armor,Glove,,2,1
Boots_Def,Armor_Def,Boots,Foot,Armor,Boots,,2,1
Boots_DamageReduce,Armor_DamageReduce,Boots,Foot,Armor,Boots,,2,1
