ID,ModifierID,OptionKey,IsMulti,Value,Priority,DescKey,KeyOder
LongSword_Damage,Weapon_Damage,LongSword_Damage,FALSE,4,50,String_Mod_Damage,0
LongSword_Accuracy,Weapon_Accurency,LongSword_Accuracy,FALSE,4,50,String_Mod_Accuracy,0
BroadSword_Damage,Weapon_Damage,BroadSword_Damage,FALSE,5,50,String_Mod_Damage,0
BroadSword_Accuracy,Weapon_Accurency,BroadSword_Accuracy,FALSE,5,50,String_Mod_Accuracy,0
Falchion_Damage,Weapon_Damage,Falchion_Damage,FALSE,6,50,String_Mod_Damage,0
Falchion_Accuracy,Weapon_Accurency,Falchion_Accuracy,FALSE,4,50,String_Mod_Accuracy,0
GreatSword_Damage,Weapon_Damage,GreatSword_Damage,FALSE,9,50,String_Mod_Damage,0
GreatSword_Accuracy,Weapon_Accurency,GreatSword_Accuracy,FALSE,6,50,String_Mod_Accuracy,0
GreatSword_AttackSpeed,Weapon_AttackSpeed,GreatSword_AttackSpeed,FALSE,0.1,50,String_Mod_AttackSpeed,0
GreatSword_TwoHand,Weapon_TwoHand,GreatSword_TwoHand,FALSE,0,50,String_Mod_TwoHand,0
Claymore_Damage,Weapon_Damage,Claymore_Damage,FALSE,11,50,String_Mod_Damage,0
Claymore_Accuracy,Weapon_Accurency,Claymore_Accuracy,FALSE,6,50,String_Mod_Accuracy,0
Claymore_TwoHand,Weapon_TwoHand,Claymore_TwoHand,FALSE,0,50,String_Mod_TwoHand,0
Katana_Damage,Weapon_Damage,Katana_Damage,FALSE,8,50,String_Mod_Damage,0
Katana_Accuracy,Weapon_Accurency,Katana_Accuracy,FALSE,7,50,String_Mod_Accuracy,0
Katana_AttackSpeed,Weapon_AttackSpeed,Katana_AttackSpeed,FALSE,-0.1,50,String_Mod_AttackSpeed,0
Club_Damage,Weapon_Damage,Club_Damage,FALSE,5,50,String_Mod_Damage,0
Club_Accuracy,Weapon_Accurency,Club_Accuracy,FALSE,4,50,String_Mod_Accuracy,0
Club_AttackSpeed,Weapon_AttackSpeed,Club_AttackSpeed,FALSE,0.1,50,String_Mod_AttackSpeed,0
Mace_Damage,Weapon_Damage,Mace_Damage,FALSE,6,50,String_Mod_Damage,0
Mace_Accuracy,Weapon_Accurency,Mace_Accuracy,FALSE,5,50,String_Mod_Accuracy,0
Mace_AttackSpeed,Weapon_AttackSpeed,Mace_AttackSpeed,FALSE,0.1,50,String_Mod_AttackSpeed,0
MorningStar_Damage,Weapon_Damage,MorningStar_Damage,FALSE,10,50,String_Mod_Damage,0
MorningStar_Accuracy,Weapon_Accurency,MorningStar_Accuracy,FALSE,5,50,String_Mod_Accuracy,0
MorningStar_AttackSpeed,Weapon_AttackSpeed,MorningStar_AttackSpeed,FALSE,0.1,50,String_Mod_AttackSpeed,0
WarHammer_Damage,Weapon_Damage,WarHammer_Damage,FALSE,13,50,String_Mod_Damage,0
WarHammer_Accuracy,Weapon_Accurency,WarHammer_Accuracy,FALSE,5,50,String_Mod_Accuracy,0
WarHammer_AttackSpeed,Weapon_AttackSpeed,WarHammer_AttackSpeed,FALSE,0.2,50,String_Mod_AttackSpeed,0
WarHammer_TwoHand,Weapon_TwoHand,WarHammer_TwoHand,FALSE,0.2,50,String_Mod_TwoHand,0
HandAxe_Damage,Weapon_Damage,HandAxe_Damage,FALSE,5,50,String_Mod_Damage,0
HandAxe_Accuracy,Weapon_Accurency,HandAxe_Accuracy,FALSE,3,50,String_Mod_Accuracy,0
BattleAxe_Damage,Weapon_Damage,BattleAxe_Damage,FALSE,7,50,String_Mod_Damage,0
BattleAxe_Accuracy,Weapon_Accurency,BattleAxe_Accuracy,FALSE,3,50,String_Mod_Accuracy,0
BattleAxe_TwoHand,Weapon_TwoHand,BattleAxe_TwoHand,FALSE,0,50,String_Mod_TwoHand,0
BroadAxe_Damage,Weapon_Damage,BroadAxe_Damage,FALSE,7,50,String_Mod_Damage,0
BroadAxe_Accuracy,Weapon_Accurency,BroadAxe_Accuracy,FALSE,4,50,String_Mod_Accuracy,0
Executioner’s Axe_Damage,Weapon_Damage,Executioner’s Axe_Damage,FALSE,11,50,String_Mod_Damage,0
Executioner’s Axe_Accurency,Weapon_Accurency,Executioner’s Axe_Accurency,FALSE,6,50,String_Mod_Accurency,0
Executioner’s Axe_AttackSpeed,Weapon_AttackSpeed,Executioner’s Axe_AttackSpeed,FALSE,0.1,50,String_Mod_AttackSpeed,0
Executioner’s Axe_TwoHand,Weapon_TwoHand,Executioner’s Axe_TwoHand,FALSE,0,50,String_Mod_TwoHand,0
Spear_Damage,Weapon_Damage,Spear_Damage,FALSE,5,50,String_Mod_Damage,0
Spear_Accuracy,Weapon_Accurency,Spear_Accuracy,FALSE,4,50,String_Mod_Accuracy,0
Spear_AttackRange,Weapon_AttackRange,Spear_AttackRange,FALSE,1,50,String_Mod_AttackRange,0
Spear_TwoHand,Weapon_TwoHand,Spear_TwoHand,FALSE,0,50,String_Mod_TwoHand,0
Trident_Damage,Weapon_Damage,Trident_Damage,FALSE,6,50,String_Mod_Damage,0
Trident_Accuracy,Weapon_Accurency,Trident_Accuracy,FALSE,5,50,String_Mod_Accuracy,0
Trident_AttackRange,Weapon_AttackRange,Trident_AttackRange,FALSE,1,50,String_Mod_AttackRange,0
Trident_TwoHand,Weapon_TwoHand,Trident_TwoHand,FALSE,0,50,String_Mod_TwoHand,0
Glaive_Damage,Weapon_Damage,Glaive_Damage,FALSE,7,50,String_Mod_Damage,0
Glaive_Accuracy,Weapon_Accurency,Glaive_Accuracy,FALSE,6,50,String_Mod_Accuracy,0
Glaive_AttackRange,Weapon_AttackRange,Glaive_AttackRange,FALSE,1,50,String_Mod_AttackRange,0
Glaive_TwoHand,Weapon_TwoHand,Glaive_TwoHand,FALSE,0,50,String_Mod_TwoHand,0
Bardiche_Damage,Weapon_Damage,Bardiche_Damage,FALSE,9,50,String_Mod_Damage,0
Bardiche_Accuracy,Weapon_Accurency,Bardiche_Accuracy,FALSE,6,50,String_Mod_Accuracy,0
Bardiche_AttackRange,Weapon_AttackRange,Bardiche_AttackRange,FALSE,1,50,String_Mod_AttackRange,0
Bardiche_TwoHand,Weapon_TwoHand,Bardiche_TwoHand,FALSE,0,50,String_Mod_TwoHand,0
ShortBow_Damage,Weapon_Damage,ShortBow_Damage,FALSE,3,50,String_Mod_Damage,0
ShortBow_Accuracy,Weapon_Accurency,ShortBow_Accuracy,FALSE,3,50,String_Mod_Accuracy,0
ShortBow_AttackRange,Weapon_AttackRange,ShortBow_AttackRange,FALSE,4,50,String_Mod_AttackRange,0
ShortBow_TwoHand,Weapon_TwoHand,ShortBow_TwoHand,FALSE,0,50,String_Mod_TwoHand,0
CompositeBow_Damage,Weapon_Damage,CompositeBow_Damage,FALSE,5,50,String_Mod_Damage,0
CompositeBow_Accuracy,Weapon_Accurency,CompositeBow_Accuracy,FALSE,4,50,String_Mod_Accuracy,0
CompositeBow_AttackRange,Weapon_AttackRange,CompositeBow_AttackRange,FALSE,5,50,String_Mod_AttackRange,0
CompositeBow_TwoHand,Weapon_TwoHand,CompositeBow_TwoHand,FALSE,0,50,String_Mod_TwoHand,0
Crossbow_Damage,Weapon_Damage,Crossbow_Damage,FALSE,7,50,String_Mod_Damage,0
Crossbow_Accuracy,Weapon_Accurency,Crossbow_Accuracy,FALSE,6,50,String_Mod_Accuracy,0
Crossbow_TwoHand,Weapon_AttackRange,Crossbow_TwoHand,FALSE,5,50,String_Mod_TwoHand,0
Longbow_Damage,Weapon_Damage,Longbow_Damage,FALSE,10,50,String_Mod_Damage,0
Longbow_Accuracy,Weapon_Accurency,Longbow_Accuracy,FALSE,6,50,String_Mod_Accuracy,0
Longbow_AttackRange,Weapon_AttackRange,Longbow_AttackRange,FALSE,5,50,String_Mod_AttackRange,0
Longbow_TwoHand,Weapon_TwoHand,Longbow_TwoHand,FALSE,0,50,String_Mod_TwoHand,0
Rob_Def,Armor_Def,Rob_Def,FALSE,1,50,String_Mod_Def,0
Rob_Ev,Armor_Ev,Rob_Ev,FALSE,3,50,String_Mod_Ev,0
LeatherArmor_Def,Armor_Def,LeatherArmor_Def,FALSE,3,50,String_Mod_Def,0
LeatherArmor_Ev,Armor_Ev,LeatherArmor_Ev,FALSE,2,50,String_Mod_Ev,0
LeatherArmor_DamageReduce,Armor_DamageReduce,LeatherArmor_DamageReduce,FALSE,1,50,String_Mod_DamageReduce,0
LeatherArmor_Disruption,Armor_Disruption,LeatherArmor_Disruption,FALSE,1,50,String_Mod_Disruption,0
ChainMail_Def,Armor_Def,ChainMail_Def,FALSE,5,50,String_Mod_Def,0
ChainMail_Ev,Armor_Ev,ChainMail_Ev,FALSE,0,50,String_Mod_Ev,0
ChainMail_DamageReduce,Armor_DamageReduce,ChainMail_DamageReduce,FALSE,2,50,String_Mod_DamageReduce,0
ChainMail_Disruption,Armor_Disruption,ChainMail_Disruption,FALSE,3,50,String_Mod_Disruption,0
ScaleMail_Def,Armor_Def,ScaleMail_Def,FALSE,6,50,String_Mod_Def,0
ScaleMail_Ev,Armor_Ev,ScaleMail_Ev,FALSE,-1,50,String_Mod_Ev,0
ScaleMail_DamageReduce,Armor_DamageReduce,ScaleMail_DamageReduce,FALSE,3,50,String_Mod_DamageReduce,0
ScaleMail_Disruption,Armor_Disruption,ScaleMail_Disruption,FALSE,5,50,String_Mod_Disruption,0
HalfPlate_Def,Armor_Def,HalfPlate_Def,FALSE,7,50,String_Mod_Def,0
HalfPlate_Ev,Armor_Ev,HalfPlate_Ev,FALSE,-3,50,String_Mod_Ev,0
HalfPlate_DamageReduce,Armor_DamageReduce,HalfPlate_DamageReduce,FALSE,4,50,String_Mod_DamageReduce,0
HalfPlate_Disruption,Armor_Disruption,HalfPlate_Disruption,FALSE,10,50,String_Mod_Disruption,0
PlateMain_Def,Armor_Def,PlateMain_Def,FALSE,10,50,String_Mod_Def,0
PlateMain_Ev,Armor_Ev,PlateMain_Ev,FALSE,-5,50,String_Mod_Ev,0
PlateMain_DamageReduce,Armor_DamageReduce,PlateMain_DamageReduce,FALSE,5,50,String_Mod_DamageReduce,0
PlateMain_Disruption,Armor_Disruption,PlateMain_Disruption,FALSE,16,50,String_Mod_Disruption,0
GothicPlate_Def,Armor_Def,GothicPlate_Def,FALSE,13,50,String_Mod_Def,0
GothicPlate_Ev,Armor_Ev,GothicPlate_Ev,FALSE,-7,50,String_Mod_Ev,0
GothicPlate_DamageReduce,Armor_DamageReduce,GothicPlate_DamageReduce,FALSE,7,50,String_Mod_DamageReduce,0
GothicPlate_Disruption,Armor_Disruption,GothicPlate_Disruption,FALSE,24,50,String_Mod_Disruption,0
Glove_Def,Armor_Def,Glove_Def,FALSE,1,50,String_Mod_Def,0
Glove_DamageReduce,Armor_DamageReduce,Glove_DamageReduce,FALSE,1,50,String_Mod_DamageReduce,0
Boots_Def,Armor_Def,Boots_Def,FALSE,1,50,String_Mod_Def,0
Boots_DamageReduce,Armor_DamageReduce,Boots_DamageReduce,FALSE,1,50,String_Mod_DamageReduce,0
