ID,OptionKey,ModifierID,OptionName,IsMuti,Priority,Value,Tier,Weight,TargetType,TargetSubType,KeyOder
D_Defense_P_T5,D_Defense_P_T5,AddOption_Defense,Add_D_Defense,FALSE,50,5,1,5,Armor,None,0
D_Defense_M_T1,D_Defense_M_T1,AddOption_Defense,Add_D_Defense,FALSE,50,-1,2,10,Armor,None,0
D_Defense_M_T2,D_Defense_M_T2,AddOption_Defense,Add_D_Defense,FALSE,50,-2,3,10,Armor,None,0
D_Defense_M_T3,D_Defense_M_T3,AddOption_Defense,Add_D_Defense,FALSE,50,-3,4,5,Armor,None,0
D_Evasion_P_T1,D_Evasion_P_T1,AddOption_Evasion,Add_D_Evasion,FALSE,50,1,1,10,Armor,None,0
D_Evasion_P_T2,D_Evasion_P_T2,AddOption_Evasion,Add_D_Evasion,FALSE,50,2,2,10,Armor,None,0
D_Evasion_P_T3,D_Evasion_P_T3,AddOption_Evasion,Add_D_Evasion,FALSE,50,3,3,5,Armor,None,0
D_DamageReduce_T3,D_DamageReduce_T3,AddOption_DamageReduce,Add_D_DamageReduce,FALSE,50,1,3,10,Armor,None,0
D_DamageReduce_T4,D_DamageReduce_T4,AddOption_DamageReduce,Add_D_DamageReduce,FALSE,50,2,4,5,Armor,None,0
D_FireResist_P_T1,D_FireResist_P_T1,AddOption_FireResist,Add_D_FireResist,FALSE,50,1,1,10,Armor,None,0
D_FireResist_P_T3,D_FireResist_P_T3,AddOption_FireResist,Add_D_FireResist,FALSE,50,2,3,10,Armor,None,0
D_FireResist_P_T5,D_FireResist_P_T5,AddOption_FireResist,Add_D_FireResist,FALSE,50,3,5,5,Armor,None,0
D_FireResist_M_T1,D_FireResist_M_T1,AddOption_FireResist,Add_D_FireResist,FALSE,50,-1,1,5,Armor,None,0
D_FireResist_M_T3,D_FireResist_M_T3,AddOption_FireResist,Add_D_FireResist,FALSE,50,-2,3,5,Armor,None,0
D_FireResist_M_T5,D_FireResist_M_T5,AddOption_FireResist,Add_D_FireResist,FALSE,50,-3,5,5,Armor,None,0
D_IceResist_P_T1,D_IceResist_P_T1,AddOption_IceResist,Add_D_IceResist,FALSE,50,1,1,10,Armor,None,0
D_IceResist_P_T3,D_IceResist_P_T3,AddOption_IceResist,Add_D_IceResist,FALSE,50,2,3,10,Armor,None,0
D_IceResist_P_T5,D_IceResist_P_T5,AddOption_IceResist,Add_D_IceResist,FALSE,50,3,4,5,Armor,None,0
D_ThunderResist_P_T3,D_ThunderResist_P_T3,AddOption_ThunderResist,Add_D_ThunderResist,FALSE,50,1,3,10,Armor,None,0
D_ThunderResist_P_T5,D_ThunderResist_P_T5,AddOption_ThunderResist,Add_D_ThunderResist,FALSE,50,2,5,10,Armor,None,0
D_MagicResist_P_T1,D_MagicResist_P_T1,AddOption_MagicResist,Add_D_MagiacResist,FALSE,50,1,1,10,Armor,None,0
D_MagicResist_P_T3,D_MagicResist_P_T3,AddOption_MagicResist,Add_D_MagiacResist,FALSE,50,2,3,10,Armor,None,0
D_MagicResist_P_T5,D_MagicResist_P_T5,AddOption_MagicResist,Add_D_MagiacResist,FALSE,50,3,5,10,Armor,None,0
W_FireDamage,W_FireDamage,AddOption_ElementalDamage_Fire,Add_W_ElementalDamage,TRUE,50,0.3,1,20,Weapon,None,0
W_IceDamage,W_IceDamage,AddOption_ElementalDamage_Ice,Add_W_ElementalDamage,TRUE,50,0.3,1,20,Weapon,None,0
W_ThunderDamage,W_ThunderDamage,AddOption_ElementalDamage_Thunder,Add_W_ElementalDamage,TRUE,50,0.3,2,20,Weapon,None,0
